Flavour's Music Cafe ,"Mexican, Quick Bites, Asian Fusion",Dhanmondi,http://harriken.com/restaurants/flavours-music-cafe-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2044_1_GaZctKj8.jpg,0.0,,"Rangs KB Square (6th Floor), 736 Satmasjid Road, Dhaka 1209"
Cilantro ,"Mediterranean, Fusion, Latin",Dhanmondi,http://harriken.com/restaurants/cilantro-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/10/2017100809103522802X2NB.jpg,4.3,,"49 Satmasjid Road, Dhanmondi, Dhaka 1209"
Coffee Shot Cafe ,"Burgers, Coffee, Pizzas",Dhanmondi,http://harriken.com/restaurants/coffee-shot-cafe-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/02/2018020101025625828DIAM.jpg,0.0,,"House 133, Road 9/A, Shankar, Dhanmondi, Dhaka 1209"
Bheja Fry ,"Grill, Kebabs, Chaap",Dhanmondi,http://harriken.com/restaurants/bheja-fry-dhanmondi-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/2018012603015222802F7JM.jpg,4.3,,"House 19/A, Road 27 (Old) 16 (New), Dhanmondi, Dhaka 1209"
Sunami Restora ,"Biryani, Halim",Dhanmondi,http://harriken.com/restaurants/sunami-restora-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/782_1_S6tmduV4.jpg,4.8,,"House 15/A, Road 2/A, Dhanmondi, Dhaka 1209"
Takeout 2.O ,"Burgers, Shakes, Set Menus",Dhanmondi,http://harriken.com/restaurants/takeout-2o-cafe-restaurant-dhanmondi-2-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/11/2017110412112721109H2EB.jpg,4.0,,"Ahmed and Kazi Tower (Level 2), House 35, Road 2, Dhanmondi, Dhaka 1205"
Arabian Fast Food ,"Fried Chicken, Pizzas, Shawarmas",Dhanmondi,http://harriken.com/restaurants/arabian-fast-food-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2025_1_QezFafCd.jpg,4.0,,"Fatema Arcade (Ground Floor), House 13/1, Road 5, Dhanmondi, Dhaka 1205"
Dawat-e Mezban ,Mezbani,Dhanmondi,http://harriken.com/restaurants/dawat-e-mezban-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801777815881,"Bikalpa Tower (Level 3), House 74, Road 5A, Satmasjid Road, Dhaka 1209"
The Red Window ,"Desserts, Quick Bites, Cupcakes",Dhanmondi,http://harriken.com/restaurants/the-red-window-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/10/2017101208105722802IRR9.jpg,4.5,,"House 19/A, Road 16 (New) 27 (Old), Dhanmondi, Dhaka 1209"
The Oriental Sky Lounge ,"BBQ, Chinese, Italian",Dhanmondi,http://harriken.com/restaurants/the-oriental-sky-lounge-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017022705025913618OTZK.png,0.0,,"Navana GH Heights (9th Floor), House 67 (New) 767 (Old), Satmasjid Road, Dhanmondi, Dhaka 1209"
Frenchie Bakery & Pastry Shop ,"Desserts, Quick Bites",Dhanmondi,http://harriken.com/restaurants/frenchie-bakery-pastry-shop-sobhanbag-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"13 J & J Mansion, Dhanmondi, Dhaka 1209"
Uthan- Cafe n Restaurant ,"Pizzas, Set Menus",Dhanmondi,http://harriken.com/restaurants/uthan-cafe-n-restaurant-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/10/2017101501100122755XVWT.jpg,4.3,,"House 19, Road 12, Dhanmondi, Dhaka 1209"
Bread & Beyond ,"Coffee, Pastries, Cakes, Sandwiches",Dhanmondi,http://harriken.com/restaurants/bread-beyond-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017120912121822802QO0U.jpg,4.3,,"House 56, Road 3/A, Satmasjid Road, Dhanmondi, Dhaka 1209"
Mirabari Restora ,"Biryani, Kebabs",Dhanmondi,http://harriken.com/restaurants/mirabari-restora-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shop G/8, 9/A Satmasjid Road, Dhanmondi, Dhaka 1209"
Hotel New Star & Kabab ,"Biryani, Grill, Kebabs",Dhanmondi,http://harriken.com/restaurants/hotel-new-star-kabab-green-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"96/8 Green Road, Dhaka 1215"
Triangle Cafe ,"BBQ, Burgers, Quick Bites",Dhanmondi,http://harriken.com/restaurants/triangle-cafe-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.4,,"House 41, Road 3A, Dhanmondi, Dhaka 1209"
Western Grill ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/western-grill-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2609_1_bcyAGKKh.jpg,4.4,8801972202802,"Kashba Centre (Ground Floor), House 5/2, Road 4, Dhanmondi, Dhaka 1209"
Nando's ,"Grill, Portuguese, Chicken",Dhanmondi,http://harriken.com/restaurants/nandos-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/05/20170529100512188857B0O.jpg,4.1,,"House 43, Road 27 (Old) 16 (New), Dhanmondi, Dhaka 1209"
QFC ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/qfc-lalmatia-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.4,8801716845965,"2 Lalmatia, Dhaka 1207"
Handi ,"Biryani, Indian, Kebabs",Dhanmondi,http://harriken.com/restaurants/handi-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/10/2017102512100722754IOWV.PNG,4.3,,"Rupayan ZR Plaza (2nd Floor), 46 Satmasjid Road, Dhanmondi, Dhaka 1209"
Hunger Anger Foods ,"Fried Chicken, Quick Bites",Dhanmondi,http://harriken.com/restaurants/hunger-anger-foods-shimanto-square-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shimanto Square, 15 Bir Uttam M.A. Rob Road, Road 2, Dhanmondi, Dhaka 1205"
Cheers Restaurant ,Chinese,Dhanmondi,http://harriken.com/restaurants/cheers-restaurant-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/514_1_hhsCyUjH.jpg,0.0,8801916897821,"House 30/A, Road 27 (Old), Dhanmondi, Dhaka 1209"
Mr. Baker ,"Quick Bites, Cakes, Pastries",Dhanmondi,http://harriken.com/restaurants/mr-baker-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/756_1_49F8G9kl.jpg,0.0,,"House 58, Road 7/A, Dhanmondi, Dhaka 1205"
Adarsha Bipani Confectionery & Stationary ,"Fried Chicken, Quick Bites",Dhanmondi,http://harriken.com/restaurants/adarsha-bipani-confectionery-stationary-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"House 7, Road 2/A, Satmasjit Road, Dhanmondi, Dhaka 1209"
Pinewood Cafe n' Restaurant ,"Chinese, Italian",Dhanmondi,http://harriken.com/restaurants/pinewood-cafe-n-restaurant-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/03/20170307010348188853MRC.jpg,4.3,,"House 19, Road 12 (New), Dhanmondi, Dhaka 1209"
Ahaar Restaurant ,"Chinese, Indian, Thai",Dhanmondi,http://harriken.com/restaurants/ahaar-restaurant-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Nizam's Shankar Plaza, 72 Satmasjid Road, Dhanmondi, Dhaka 1209"
Sanqi Restaurant ,Bangladeshi,Dhanmondi,http://harriken.com/restaurants/sanqi-restaurant-dhanmondi-2-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.0,8801782213060,"Lilyrin Tower (6th Floor), Plot 39, Road 2,  Dhanmondi, Dhaka 1209"
Lord Of The Fries BD ,"Pastas, Fries",Dhanmondi,http://harriken.com/restaurants/lord-of-the-fries-bd-shimanto-square-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shimanto Square, Dhanmondi, Dhaka 1205"
Sub Zero ,Ice Cream,Dhanmondi,http://harriken.com/restaurants/sub-zero-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.4,8801976853835,"Plaza A R, House 2, Road 14, Dhanmondi, Dhaka 1205"
Platinum Club bd ,"Burgers, Pastas, Steaks",Dhanmondi,http://harriken.com/restaurants/platinum-club-bd-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/11/2017112912111125828TQEP.jpg,4.9,,"Keari Crescent Tower (Level 04), Satmasjid Road, Dhanmondi, Dhaka 1209"
HangOut ,"Buffet, Chinese, Quick Bites",Dhanmondi,http://harriken.com/restaurants/hangout-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/20180105010101228029TK4.jpg,0.0,,"Rupayan ZR Plaza (11th Floor), House 746, Road 19, Satmasjid Road, Dhanmondi, Dhaka 1209"
Baishakhi Hotel ,"Biryani, Kebabs",Dhanmondi,http://harriken.com/restaurants/baishakhi-hotel-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"House 119, Road 9/A, Shankar, Dhanmondi, Dhaka 1209"
Bashmoti Kacchi ,"Biryani, Bangladeshi",Dhanmondi,http://harriken.com/restaurants/bashmoti-kacchi-jigatala-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/04/2017042501044918885OOLI.jpg,4.4,,"1st Floor, 43/3/2 Munshi Bari Road, Near Gabtola Mosque, Jigatala, Dhaka 1209"
Tehari Ghar ,"Khichuri, Tehari",Dhanmondi,http://harriken.com/restaurants/tehari-ghar-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2019_1_WcEJumBB.jpg,4.4,,"House 2, Road 13 (New) 30 (Old), R/A, Dhanmondi, Dhaka 1205"
Altitude ,"Burgers, Pastas, Pizzas, Set Menus",Dhanmondi,http://harriken.com/restaurants/altitude-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/02/2018020101023622802HJ40.jpg,4.5,,"Rangs KB Square (12th Floor), 736 Satmasjid Road, Dhaka 1209"
BFC ,Fried Chicken,Dhanmondi,http://harriken.com/restaurants/bfc-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/1311_1_ZZ8aRcIX.jpg,0.0,88029143223,"Orchid Plaza, Road 28, Dhanmondi, Dhaka 1209"
Mila Fast Food ,"Burgers, Mexican, Italian",Dhanmondi,http://harriken.com/restaurants/mila-fast-food-shimanto-square-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shimanto Square, Dhanmondi, Dhaka 1205"
Cafe Droom ,"Chinese, Thai, Continental",Dhanmondi,http://harriken.com/restaurants/cafe-droom-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2437_1_wKp2CbMP.jpg,4.1,,"Rangs KB Square (13th Floor), 736 Satmasjid Road, Dhaka 1209"
